업체명,별점,블로그리뷰,방문뷰,업종,전화번호,도로명,지번
벨라스가든,4.48,522,510,"음식점,브런치",02-424-4243,서울특별시 송파구 백제고분로41길 42-19 1층,서울특별시 송파구 송파동 32-2
프로퍼커피바,4.47,867,583,"카페,디저트,카페",02-3401-0703,서울특별시 송파구 위례성대로22길 6 유진빌딩,서울특별시 송파구 오금동 8-5 유진빌딩 1층
비채나,4.57,424,199,"음식점,한식",02-1811-1870,서울특별시 송파구 올림픽로 300 롯데월드타워 81층,서울특별시 송파구 신천동 29
미엔아이,4.65,745,513,"음식점,아시아음식",02-422-0652,서울특별시 송파구 오금로16길 5,서울특별시 송파구 송파동 55
스시작,4.15,122,39,"일식,일식당",02-422-2017,서울특별시 송파구 양재대로71길 13,서울특별시 송파구 방이동 203
고도식,4.45,527,301,"한식,육류,고기요리",02-422-8692,서울특별시 송파구 백제고분로45길 28,서울특별시 송파구 송파동 55-7
야끼소바 니주마루,4.6,127,120,"일식,일식당",070-7819-0012,서울특별시 송파구 백제고분로41길 21 1층,서울특별시 송파구 송파동 13-18 1층
빌즈 잠실,4.19,1495,1669,"음식점,브런치",02-3213-4185,서울특별시 송파구 올림픽로 300 롯데월드몰 1층,서울특별시 송파구 신천동 29
아낙네그루브,4.3,236,150,"음식점,양식",02-423-4293,"서울특별시 송파구 백제고분로45길 15 4,5층 아낙네그루브",서울특별시 송파구 송파동 42-6
몽중헌 방이점,4.4,554,273,"중식,중식당",02-2202-8004,"서울특별시 송파구 위례성대로 10 S타워 20, 21F",서울특별시 송파구 방이동 44-5
코스모스시,4.69,21,62,"일식,일식당",010-3285-1713,서울특별시 송파구 삼전로7길 15,서울특별시 송파구 잠실동 249
프레드릭베이커리,4.39,718,428,"카페,디저트,베이커리",02-417-2114,서울특별시 송파구 오금로 137,서울특별시 송파구 방이동 109-15
배키욘방,4.5,766,798,"일식,우동,소바",02-418-7773,서울특별시 송파구 올림픽로32길 22-23 1층,서울특별시 송파구 방이동 62-3 1층
오쓰세이로무시,4.29,170,136,"일식,일식당",02-419-2222,서울특별시 송파구 백제고분로45길 30,서울특별시 송파구 송파동 56-2
등촌샤브칼국수 방이본점,4.39,3784,470,"한식,칼국수,만두",02-421-2020,서울특별시 송파구 올림픽로30길 10,서울특별시 송파구 방이동 24-7
서정적살롱,4.19,439,279,"음식점,브런치",02-415-7670,서울특별시 송파구 석촌호수로 274 씨엠빌딩,서울특별시 송파구 송파동 32-7
청와옥 석촌호수직영점,4.55,799,616,"한식,순대,순댓국",02-422-0550,서울특별시 송파구 삼학사로 96,서울특별시 송파구 석촌동 2
씨즐,4.91,4,16,"음식점,멕시코,남미음식",02-403-0427,서울특별시 송파구 새말로11길 16 미래스위트하우스 101호,서울특별시 송파구 문정동 87-17
스시산,4.41,363,334,"일식,일식당",02-413-3337,서울특별시 송파구 석촌호수로 118 잠실청호빌딩 2층,서울특별시 송파구 잠실동 242-9
엘리스리틀이태리,4.48,528,223,"음식점,이탈리아음식",02-422-1210,서울특별시 송파구 백제고분로41길 43-21,서울특별시 송파구 송파동 8
대즐커피,5.0,8,9,"음식점,카페,디저트",010-9791-3484,서울특별시 송파구 위례성대로14길 7-16 1층,서울특별시 송파구 방이동 193-8 1층
라쁘띠,4.32,162,127,"음식점,카페,디저트",02-418-6773,서울특별시 송파구 가락로11길 19 1층 라쁘띠,서울특별시 송파구 석촌동 261-17
아웃백스테이크하우스 잠실점,4.4,657,3407,"음식점,패밀리레스토랑",02-418-4071,서울특별시 송파구 송파대로 466,서울특별시 송파구 송파동 15-1
봉피양 방이점,4.35,991,344,"음식점,한식",02-415-5527,서울특별시 송파구 양재대로71길 1-4,서울특별시 송파구 방이동 205-8
소마드로잉카페 잠실새내점,4.78,33,83,"음식점,카페,디저트",02-422-8133,서울특별시 송파구 올림픽로10길 13-1 지하 1층,서울특별시 송파구 잠실동 191-1
STAY,4.4,773,1340,"음식점,프랑스음식",02-3213-1231,서울특별시 송파구 올림픽로 300 롯데월드타워 81층,서울특별시 송파구 신천동 29
호이안로스터리,4.64,156,167,"음식점,카페,디저트",02-527-8929,서울특별시 송파구 법원로 128 B동 115호,서울특별시 송파구 문정동 642-3
피제리아라고,4.49,349,151,"음식점,이탈리아음식",02-422-8588,서울특별시 송파구 백제고분로41길 39,서울특별시 송파구 송파동 9-9
청화초밥,4.42,299,325,"일식,초밥,롤",02-420-3686,서울특별시 송파구 오금로13길 14 1층 ,서울특별시 송파구 방이동 69-9
경양카츠 송리단길점,4.43,251,189,"일식,돈가스",02-2203-0717,서울특별시 송파구 백제고분로45길 12 1층 경양카츠,서울특별시 송파구 송파동 51-10
세상의모든아침 롯데월드몰점,4.33,61,121,"음식점,브런치",02-3213-4670,서울특별시 송파구 올림픽로 300 롯데월드몰 6층,서울특별시 송파구 신천동 29
이낙근찹쌀떡베이커리카페,4.42,24,258,"카페,디저트,베이커리",02-423-4082,서울특별시 송파구 중대로 316 이낙근찹쌀떡베이커리,서울특별시 송파구 오금동 95-3
빠레뜨한남 석촌호수점,4.47,348,279,"음식점,양식",02-6407-3417,서울특별시 송파구 오금로16길 10 1층,서울특별시 송파구 송파동 57-11 1층
코벤트가든 올림픽공원점,4.39,990,1727,"음식점,이탈리아음식",02-3431-5565,서울특별시 송파구 위례성대로 128 1층,서울특별시 송파구 방이동 183-3
온화,4.35,632,337,"카페,디저트,베이커리",02-421-7877,서울특별시 송파구 백제고분로45길 15 2층 온화,서울특별시 송파구 송파동 42
오복수산잠실,4.42,262,273,"일식,일식당",02-420-9955,,서울특별시 송파구 송파동 42-6
니엔테,4.29,413,827,"음식점,양식",02-423-7846,서울특별시 송파구 백제고분로45길 40 2층,서울특별시 송파구 송파동 58-15
우드그린4717,4.53,76,100,"이탈리아음식,스파게티,파스타전문",02-423-4717,서울특별시 송파구 위례성대로16길 10 1층,서울특별시 송파구 방이동 191-2
도요스6가,4.66,656,94,"일식,일식당",02-416-6802,서울특별시 송파구 백제고분로45길 40 트윈레이크팰리스 1층,서울특별시 송파구 송파동 58-15 트윈레이크팰리스 1층
뉴질랜드스토리,4.53,734,247,"음식점,브런치",070-7523-6265,서울특별시 송파구 석촌호수로 268 경남레이크파크,서울특별시 송파구 송파동 32-1 경남레이크파크 113호
르빵 송파점,4.45,218,585,"카페,디저트,베이커리",070-8973-7004,서울특별시 송파구 백제고분로41길 12 향나무빌딩,서울특별시 송파구 송파동 22 향나무빌딩
젠젠 잠실점,4.45,386,377,"음식점,카페,디저트",02-412-7240,서울특별시 송파구 백제고분로45길 34 동방빌딩 2F,서울특별시 송파구 송파동 56-1
포모르,4.38,55,95,"음식점,카페,디저트",010-2926-0686,서울특별시 송파구 올림픽로34길 20 1층,서울특별시 송파구 방이동 58-24 1층
라이언하트,4.74,118,53,"술집,바(BAR)",02-6413-9080,서울특별시 송파구 석촌호수로 284 지하104호,서울특별시 송파구 송파동 31-2
골든타이,4.35,473,115,"음식점,태국음식",02-461-8089,서울특별시 송파구 위례성대로 66,서울특별시 송파구 방이동 171-4 1층
다케오호르몬데판야끼 송리단길점,4.28,1281,305,"음식점,한식",070-4468-6654,서울특별시 송파구 백제고분로45길 8 1층,서울특별시 송파구 송파동 49-11
파티세리 도효,4.6,365,210,"카페,디저트,케이크전문",02-412-2049,서울특별시 송파구 백제고분로45길 21-1 2층,서울특별시 송파구 송파동 39-9
Pres Coffee,4.37,382,309,"음식점,카페,디저트",02-424-0426,,서울특별시 송파구 송파동 42-6 4F Pres coffee
해주냉면,4.33,403,601,"한식,냉면",02-424-7192,서울특별시 송파구 백제고분로7길 8-16,서울특별시 송파구 잠실동 195-9
그리지하우스,4.56,625,143,"음식점,양식",02-6013-8169,서울특별시 송파구 백제고분로41길 43-17 1층,서울특별시 송파구 송파동 8-11 1층
콘메,4.25,190,61,"음식점,이탈리아음식",010-5382-3419,서울특별시 송파구 백제고분로42길 6-30 1층,서울특별시 송파구 송파동 85-5 1층
냠냠물고기 2호점,4.69,16,13,"일식,일식당",010-8588-5938,서울특별시 송파구 송이로 135 6층 냠냠물고기 2호점,서울특별시 송파구 가락동 123-8
토닭토닭,4.33,670,288,"한식,닭갈비",02-6925-0206,서울특별시 송파구 백제고분로45길 38,서울특별시 송파구 송파동 57
부산양곱창,4.5,328,122,"한식,곱창,막창,양",02-3431-7991,서울특별시 송파구 백제고분로7길 50-1 1층부산양곱창,서울특별시 송파구 잠실동 185
글로리식당,4.19,138,35,"음식점,한식",070-8830-9523,서울특별시 송파구 백제고분로42길 4-13 102호,서울특별시 송파구 송파동 85-12
오레노라멘송파,4.49,237,249,"일식,일본식라면",02-418-3539,,서울특별시 송파구 송파동 42-6 일층
동방명주,4.15,52,20,"중식,중식당",02-6093-5555,서울특별시 송파구 백제고분로 2 동방명주,서울특별시 송파구 잠실동 1-2
온량,4.49,426,209,"음식점,양식",02-422-3642,서울특별시 송파구 백제고분로43길 4 1층,서울특별시 송파구 송파동 47
테이블하나,4.77,16,13,"술집,와인",02-422-4580,서울특별시 송파구 백제고분로45길 14-18 1층,서울특별시 송파구 송파동 51
주택가,4.46,172,57,"술집,요리주점",010-4939-9529,서울특별시 송파구 올림픽로10길 26,서울특별시 송파구 잠실동 200-5 1층
모터시티,4.32,259,92,"음식점,피자",02-424-2323,,서울특별시 송파구 송파동 42-6 2층
벽제갈비 방이본점,4.4,236,195,"한식,소고기구이",02-415-5522,서울특별시 송파구 양재대로71길 1-4,서울특별시 송파구 방이동 205-8
토우지,4.89,15,44,"술집,이자카야",02-417-5485,서울특별시 송파구 백제고분로7길 32-8,서울특별시 송파구 잠실동 189-10
차만다,4.47,241,102,"음식점,양식",02-6465-0812,서울특별시 송파구 오금로18길 6,서울특별시 송파구 송파동 51-2 106호
murmur,4.39,526,127,"음식점,카페,디저트",010-8612-4967,서울특별시 송파구 삼학사로18길 5,서울특별시 송파구 석촌동 6-5 나이스빌 1층 카페 머머 murmur
1987루프탑라운지 잠실점,4.12,419,112,"술집,바(BAR)",02-420-1987,서울특별시 송파구 올림픽로32길 11 혜성빌딩 9층,서울특별시 송파구 방이동 36-7
갓덴스시 롯데월드몰점,4.45,629,725,"일식,초밥,롤",02-3213-4519,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29
반올림피자샵 잠실점,4.25,20,65,"양식,피자",02-2203-5677,서울특별시 송파구 가락로5길 4 제1층 101호,서울특별시 송파구 석촌동 251 제1층 101호
함경도찹쌀순대,4.3,881,1637,"한식,순대,순댓국",02-403-8822,서울특별시 송파구 송파대로28길 32,서울특별시 송파구 가락동 79-7
디저티스트,4.58,55,142,"음식점,카페,디저트",010-6831-3724,서울특별시 송파구 송파대로48길 37 호수임광아파트 상가동 2층,서울특별시 송파구 송파동 33
서두산 딤섬,4.34,462,207,"중식,딤섬,중식만두",02-425-4588,서울특별시 송파구 올림픽로32길 52 소은빌딩,서울특별시 송파구 방이동 104 소은빌딩
주은감자탕,4.26,602,441,"한식,감자탕",02-413-3670,서울특별시 송파구 삼학사로 71,서울특별시 송파구 삼전동 132-14
VABENE,4.47,263,61,"음식점,이탈리아음식",02-6397-0997,서울특별시 송파구 백제고분로41길 42-11 1층,서울특별시 송파구 송파동 32-3
송리단취향,4.36,319,236,"음식점,양식",010-7574-9244,서울특별시 송파구 백제고분로45길 20 1층 102호 송리단취향,서울특별시 송파구 송파동 53-10 1층 102호 송리단취향
골목떡볶이,4.37,928,711,"분식,떡볶이",02-3402-3452,서울특별시 송파구 문정로1길 33,서울특별시 송파구 문정동 44
또봄,4.5,253,90,"음식점,양식",010-2887-2456,서울특별시 송파구 오금로18길 10,서울특별시 송파구 송파동 51-4
뷰클랜드,4.58,553,657,"음식점,카페,디저트",070-4065-4860,서울특별시 송파구 백제고분로43길 10 1층,서울특별시 송파구 송파동 45-18
진지아,4.55,566,454,"중식,중식당",02-418-5354,"서울특별시 송파구 백제고분로41길 12-9 1,2층","서울특별시 송파구 송파동 23-10 1,2층"
뜻한바,4.58,43,12,"술집,요리주점",02-420-8062,서울특별시 송파구 백제고분로42길 6-9,서울특별시 송파구 송파동 86-1
일일양 석촌호수,4.81,146,57,"한식,육류,고기요리",02-418-1177,서울특별시 송파구 송파대로49길 52 나인파크 A-107호,서울특별시 송파구 석촌동 24-11
돈이찌,4.37,279,163,"일식,돈가스",02-420-4917,서울특별시 송파구 올림픽로32길 41 1층,서울특별시 송파구 방이동 99-21 1층
와타미 방이점,4.2,98,70,"술집,이자카야",02-420-9198,서울특별시 송파구 오금로15길 16 호수빌딩 1층 와타미 방이점,서울특별시 송파구 방이동 71
베르베르,4.42,280,109,"음식점,브런치",010-3443-8094,서울특별시 송파구 오금로18길 14,서울특별시 송파구 송파동 51-9
얼터너티브,4.47,6,663,"음식점,카페,디저트",02-425-0120,서울특별시 송파구 백제고분로46길 26-1 신화빌딩,서울특별시 송파구 송파동 131-25
흥도식당,4.37,72,203,"일식,돈가스",070-8676-0341,서울특별시 송파구 법원로 114 엠스테이트 지하1층 b동 155-1호 흥도식당,서울특별시 송파구 문정동 643-1
장칼집,4.44,229,207,"한식,칼국수,만두",02-420-7935,서울특별시 송파구 가락로6길 3,서울특별시 송파구 석촌동 252-14
디트로네 라운지,4.4,398,275,"음식점,카페,디저트",02-422-5021,서울특별시 송파구 석촌호수로 258 잠실아르누보팰리스,서울특별시 송파구 송파동 7-1
피자네버슬립스,4.26,381,179,"음식점,피자",070-8835-5877,서울특별시 송파구 백제고분로45길 6 지층,서울특별시 송파구 송파동 49-5
크래프트아일랜드 잠실점,4.74,554,362,"술집,맥주,호프",02-413-1555,"서울특별시 송파구 올림픽로35가길 10 더샵스타파크상가 114호,115호,119호",서울특별시 송파구 신천동 7-14
세이류,4.83,88,738,"일식,초밥,롤",02-418-2288,서울특별시 송파구 올림픽로35가길 9 지하 1층 B35호,서울특별시 송파구 신천동 11-4
쥬뗑뷔뜨,4.56,87,117,"카페,디저트,베이커리",02-6403-0098,서울특별시 송파구 백제고분로40길 14 103호 쥬뗑뷔뜨 베이커리,서울특별시 송파구 석촌동 283-10 103호 쥬뗑뷔뜨 베이커리
모꼬지에,4.16,941,373,"분식,떡볶이",02-424-6150,서울특별시 송파구 송파대로36길 5-13,서울특별시 송파구 송파동 195-1
이성원쉐프의 청년감자탕 본점,4.42,894,329,"한식,감자탕",02-3431-9252,서울특별시 송파구 오금로19길 5 1층,서울특별시 송파구 방이동 110-12
까페라리 방이점,4.34,94,92,"카페,디저트,카페",02-425-4186,서울특별시 송파구 위례성대로 134 한스빌딩,서울특별시 송파구 방이동 183-6
젠,4.41,295,154,"일식,초밥,롤",070-8161-7770,서울특별시 송파구 오금로18길 8 102호,서울특별시 송파구 송파동 51-3
아그라 잠실에비뉴엘점,4.21,529,435,"음식점,인도음식",02-3213-2633,서울특별시 송파구 올림픽로 300 롯데백화점에비뉴엘월드타워점 6층,서울특별시 송파구 신천동 29
오사카하루,4.63,1177,216,"일식,일식당",02-412-5388,서울특별시 송파구 올림픽로32길 19-15,서울특별시 송파구 방이동 59-13
가배도 송파,4.27,741,186,"음식점,카페,디저트",02-423-4542,서울특별시 송파구 백제고분로45길 6 2층 201호,서울특별시 송파구 송파동 49-5
모토쿠라시,4.58,214,65,"술집,이자카야",010-3852-6327,서울특별시 송파구 백제고분로41길 27 202호 나무문,서울특별시 송파구 송파동 11-2
라미옥,4.58,38,52,"한식,곰탕,설렁탕",02-423-1744,서울특별시 송파구 위례성대로 114 1층,서울특별시 송파구 방이동 182-2
잠수교집 3호점,4.5,271,152,"음식점,한식",02-419-0434,서울특별시 송파구 송파대로49길 51 1층 잠수교집,서울특별시 송파구 석촌동 23-3
사케쇼프,4.48,150,30,"술집,이자카야",02-416-9997,서울특별시 송파구 오금로16길 12,서울특별시 송파구 송파동 56-6
부일갈매기,4.63,211,68,"음식점,한식",02-412-1462,서울특별시 송파구 삼전로13길 4,서울특별시 송파구 잠실본동 242-22
코메또히또,4.08,257,38,"일식,덮밥",02-423-6399,서울특별시 송파구 송파대로49길 31,서울특별시 송파구 석촌동 157-1 1층
인딕슬로우,4.65,258,120,"음식점,인도음식",02-423-0100,서울특별시 송파구 백제고분로45길 28 벤도치빌딩2층,서울특별시 송파구 송파동 55-7
육화식당,4.4,433,184,"한식,돼지고기구이",02-424-6882,서울특별시 송파구 올림픽로32길 29,서울특별시 송파구 방이동 70
황도바지락칼국수,4.32,323,470,"한식,칼국수,만두",02-417-5058,서울특별시 송파구 백제고분로 358,서울특별시 송파구 석촌동 286-9
도삭면공방,4.47,98,104,"중식,중식당",02-417-8868,서울특별시 송파구 백제고분로7길 8-12,서울특별시 송파구 잠실동 195-10
브루클린더버거조인트 롯데월드몰점,4.41,313,274,"양식,햄버거",02-3213-4340,서울특별시 송파구 올림픽로 300 롯데월드몰 3층,서울특별시 송파구 신천동 29 롯데월드몰 3층
팻어케이크,4.54,58,37,"카페,디저트,케이크전문",010-9263-6925,서울특별시 송파구 백제고분로41길 20,서울특별시 송파구 송파동 24
소류,4.6,24,15,"일식,일식당",02-415-3777,서울특별시 송파구 오금로17길 5 1층 101호,서울특별시 송파구 방이동 104-13
오스테리아세콘디,4.71,172,1077,"음식점,이탈리아음식",010-5380-3419,서울특별시 송파구 백제고분로42길 4 1층,서울특별시 송파구 송파동 85
팔각동,4.38,199,104,"중식,중식당",070-8845-8880,서울특별시 송파구 오금로17길 6 1층 팔각동,서울특별시 송파구 방이동 105-7 1층 팔각동
피에프창 롯데월드몰점,4.31,907,593,"음식점,아시아음식",02-3213-4599,서울특별시 송파구 올림픽로 300 롯데월드몰 캐쥬얼동 5F,서울특별시 송파구 신천동 29 롯데월드몰 캐쥬얼동  5F
위커파크,4.38,541,112,"음식점,카페,디저트",010-2942-0447,서울특별시 송파구 석촌호수로 298 잠실대우레이크월드,서울특별시 송파구 송파동 58-1 잠실대우레이크월드 1층 103-1호
오늘와인한잔 석촌역점,4.44,36,87,"술집,와인",02-422-7631,서울특별시 송파구 백제고분로41길 13,서울특별시 송파구 송파동 16-6
카페이클립스,4.41,260,47,"음식점,카페,디저트",010-7147-0401,서울특별시 송파구 송파대로49길 52,서울특별시 송파구 석촌동 24-11 나인파크A 201
할머니포장마차멸치국수,4.34,498,261,"한식,국수",02-416-6698,서울특별시 송파구 오금로11길 59 올림픽파크존,서울특별시 송파구 방이동 49-5
브럭시,4.35,259,264,"양식,샌드위치",02-3213-4790,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29
평화곱창,4.51,149,95,"한식,곱창,막창,양",02-418-8292,서울특별시 송파구 백제고분로41길 27 1층,서울특별시 송파구 송파동 11-2 1층
송리단길 효월,4.35,259,125,"중식,중식당",02-424-5044,서울특별시 송파구 오금로18길 6 1층,서울특별시 송파구 송파동 51-2
미강식당,4.86,223,1096,"한식,돼지고기구이",02-422-4624,서울특별시 송파구 백제고분로 122,서울특별시 송파구 잠실동 294-3
아도겐 송파점,4.52,250,128,"술집,이자카야",02-425-0106,서울특별시 송파구 백제고분로45길 21 1층 아도겐,서울특별시 송파구 송파동 40
조용,4.57,18,14,"일식,일식당",010-8968-9806,서울특별시 송파구 위례성대로18길 31-8 1층,서울특별시 송파구 방이동 207-3
쭈꾸미도사 잠실새내점,4.51,86,184,"한식,주꾸미요리",02-419-0523,서울특별시 송파구 백제고분로7길 30 1층,서울특별시 송파구 잠실동 189 1층
블렌티,4.89,52,33,"음식점,카페,디저트",02-6348-1059,서울특별시 송파구 백제고분로41길 21 2F,서울특별시 송파구 송파동 13-18
군산오징어 본점,4.3,1189,633,"해물,생선요리,오징어요리",02-413-2046,서울특별시 송파구 삼학사로 101 세준빌딩,서울특별시 송파구 삼전동 130-15
빈티지1981,4.68,171,749,"음식점,이탈리아음식",010-8221-9819,서울특별시 송파구 석촌호수로 194 태호빌딩 2층,서울특별시 송파구 석촌동 1-3
멘야호코리,4.3,55,32,"일식,일본식라면",010-7364-3112,서울특별시 송파구 올림픽로32길 41,서울특별시 송파구 방이동 99-21
맞닿음,4.22,193,65,"술집,오뎅,꼬치",02-417-0560,서울특별시 송파구 백제고분로45길 34 1층 맞닿음,서울특별시 송파구 송파동 56-1
오향가,4.44,640,395,"중식,중식당",02-401-6999,서울특별시 송파구 송이로 106,서울특별시 송파구 가락동 73-2
땡스피자 잠실새내점,4.73,1,42,"음식점,피자",02-424-0506,서울특별시 송파구 백제고분로19길 29 105호,서울특별시 송파구 잠실동 241-4 105호
요시,4.64,147,25,"술집,이자카야",02-416-2582,서울특별시 송파구 위례성대로18길 9-1 1층,서울특별시 송파구 방이동 186-15
사사노하,4.45,111,44,"술집,이자카야",070-4101-4451,서울특별시 송파구 백제고분로42길 4-13 101호,서울특별시 송파구 송파동 85-12
빈체로 올림픽공원점,4.31,222,166,"이탈리아음식,스파게티,파스타전문",02-2203-3331,서울특별시 송파구 위례성대로 68 102호,서울특별시 송파구 방이동 171-5
툇마루밥상,4.33,363,322,"한식,한정식",02-409-6979,서울특별시 송파구 송파대로22길 11,서울특별시 송파구 문정동 46-11
이월로스터스 송파점,4.54,254,127,"카페,디저트,카페",070-8839-1004,서울특별시 송파구 백제고분로45길 14,서울특별시 송파구 송파동 51-7
제주 오겹살 왕돌구이집 방이본점,4.18,943,121,"한식,돼지고기구이",02-423-0333,서울특별시 송파구 오금로15길 9-12,서울특별시 송파구 방이동 69-10
러반로제 레스토랑,4.3,126,49,"음식점,이탈리아음식",070-7778-9471,서울특별시 송파구 석촌호수로 274,서울특별시 송파구 송파동 32-7 씨엠빌딩
BBQ치킨 송파점,4.49,35,139,"음식점,치킨,닭강정",02-424-7265,서울특별시 송파구 송이로 18 성지빌딩,서울특별시 송파구 송파2동 100-1 1층
동경산책,4.38,590,266,"일식,일식당",02-421-6066,서울특별시 송파구 백제고분로45길 15 1층 102호,서울특별시 송파구 송파동 42-6 1층 102호
명서식당,4.68,81,38,"일식,일식당",070-8220-8660,서울특별시 송파구 백제고분로7길 42-29,서울특별시 송파구 잠실동 206-1
라움파스타 송파점,4.54,78,82,"이탈리아음식,스파게티,파스타전문",02-417-5663,서울특별시 송파구 송파대로39길 1-8,서울특별시 송파구 석촌동 293-9
동북양꼬치 신천본점,4.46,138,57,"중식,양꼬치",02-424-8892,서울특별시 송파구 석촌호수로12길 14,서울특별시 송파구 잠실동 207-5
신천돼지,4.7,510,305,"한식,돼지고기구이",02-414-3008,서울특별시 송파구 백제고분로9길 24,서울특별시 송파구 잠실동 201-7
노포식당,4.32,90,150,"한식,곱창,막창,양",02-408-8555,서울특별시 송파구 위례광장로 120 1층 101호,서울특별시 송파구 장지동 897 1층
방이샤브샤브칼국수,4.55,424,360,"일식,샤브샤브",02-423-3450,서울특별시 송파구 오금로31길 42,서울특별시 송파구 방이1동 213-8
Jbout,4.03,285,19,"음식점,이탈리아음식",02-424-8667,서울특별시 송파구 잠실로 180,서울특별시 송파구 신천동 32
스시다원,4.47,78,216,"일식,일식당",02-425-6906,서울특별시 송파구 삼전로12길 6 1층,서울특별시 송파구 삼전동 4
장수식당,4.22,180,127,"음식점,한식",02-415-4148,서울특별시 송파구 삼전로 95 태성빌딩,서울특별시 송파구 잠실동 252 태성빌딩
늘푸른목장 잠실본점,4.37,356,228,"한식,소고기구이",02-3431-4520,서울특별시 송파구 백제고분로9길 34,서울특별시 송파구 잠실동 203-7 1F
바 다빈치,4.35,248,17,"술집,바(BAR)",02-420-6042,서울특별시 송파구 올림픽로32길 11 혜성빌딩 지하1층,서울특별시 송파구 방이동 36-7
나무수,4.44,59,219,"음식점,이탈리아음식",070-5056-6060,서울특별시 송파구 올림픽로8길 7 잠실M타워 나무수,서울특별시 송파구 잠실동 178
롼스,4.49,347,67,"음식점,카페,디저트",02-6402-5704,서울특별시 송파구 백제고분로43길 8,서울특별시 송파구 송파동 46-19
씨젬므쥬르,4.41,205,71,"음식점,프랑스음식",070-4179-4142,서울특별시 송파구 백제고분로41길 25,서울특별시 송파구 송파동 12-3
